ADDIT,Add. Parking Avail.,有额外车位
CPG,Carport & Garage,车位和车库
CPM,Carport; Multiple,多车位
CPS,Carport; Single,单车位
DGCP,Det.Grge/Carport,分离式车位
GAR2,Garage; Double,双车库
GAR1,Garage; Single,单车库
GAR3,Garage; Triple,三车库
GAR2T,Grge/Double Tandem,双Tandem车库
GARB,Garage Underbuilding,地下车库
GARU,Garage; Underground,地下车库
NONE,None,无
OPEN,Open,开放车位
RV,RV Parking Avail.,休旅车位
TAN,Tandem,Tandem车位
VISIT,Visitor Parking,访客车位
OTHER,Other,其它
Site Influences,Site Influences,
ADULT,Adult Oriented,成人社区
CENTR,Central Location,中心地段
CLEAR,Cleared,Cleared
CULD,Cul-de-Sac,钥匙圈
GATED,Gated Complex,小区围栏
GCDEV,Golf Course Dev.,未来高球场
GCNR,Golf Course Nearby,近高球场
GREEN,Greenbelt,绿化带
GVRD,Gravel Road,砂石路面
LANE,Lane Access,出入小路
MARIN,Marina Nearby,近游艇码头
MFLND,Managed Forest Land,林地
NOPET,Pets Not Allowed,禁宠
PRSET,Private Setting,注重隐私
PRVYD,Private Yard,私密后院
PVRD,Paved Road,私家道路
RECNR,Recreation Nearby,近娱乐设施
RETCO,Retirement Community,退休居所
RURAL,Rural Setting,田园风格
SHPNR,Shopping Nearby,近商场
SKINR,Ski Hill Nearby,近滑雪场
TREED,Treed,树林环绕
WATFP,Waterfront Property,水景
Construction,建筑材料,
BRICK,Brick,砖
CONBK,Concrete Block,水泥
CONCR,Concrete,水泥
CONFM,Concrete Frame,水泥结构
METAL,Frame - Metal,金属结构
WOOD,Frame - Wood,木结构
LOG,Log,木质
MANUF,Manufactured/Mobile,Manufactured/Mobile
PRFAB,Modular/Prefab,预制房
OTHER,Other,其它
Foundation,地基,
CONBK,Concrete Block,水泥
CONCP,Concrete Perimeter,水泥
SLAB,Concrete Slab,水泥
OTHER,Other,其它
PRSWD,Preserved Wood,防朽木
NONE,None,无
Exterior Finishing,外墙,
ALUM,Aluminum,铝
BRICK,Brick,砖
CONCR,Concrete,水泥
GLASS,Glass,玻璃
LOG,Log,木材
METAL,Metal,金属
MIXED,Mixed,混合
STONE,Stone,石材
STUC,Stucco,灰泥
VINYL,Vinyl,Vinyl
WOOD,Wood,木材
OTHER,Other,其它
Roof,屋顶,
ASPH,Asphalt,沥青
FIBRE,Fibreglass,玻璃钢
METAL,Metal,金属
TGVL,Tar & Gravel,焦油和碎石
TCOM,Tile - Composite,瓦片
TCON,Tile - Concrete,水泥瓦
TORCH,Torch-On,Torch-On
WOOD,Wood,木材
OTHER,Other,其它
Fule/Heating,供热,
BSBRD,Baseboard,暖气片
ELEC,Electric,电暖
FAIR,Forced Air,热风
GEOTH,Geothermal,地热能
HPUMP,Heat Pump,热泵
HOTWA,Hot Water,热水
RADI,Radiant,地暖
MIXED,Mixed,混合取暖
NGAS,Natural Gas,天然气
OIL,Oil,燃油
PGAS,Propane Gas,液化气
SOLAR,Solar,太阳能
WOOD,Wood,木材
OTHER,Other,其它
Fireplace Fueled by,壁炉供热,
NGAS,Gas - Natural,天然气
PGAS,Gas -  Propane,液化气
ELEC,Electric,电
NONE,None,无
PELLE,Pellet,Pellet
WOOD,Wood,木头
OTHER,Other,其它
Floor Finish,地板,
CONC,Concrete,水泥
HDWD,Hardwood,实木地板
LAMIN,Laminate,复合地板
MIXED,Mixed,混合
SOFTW,Softwood,软木
TILE,Tile,瓷砖
VINYL,Vinyl/Linoleum,Vinyl/Linoleum
CWW,Wall/Wall/Mixed,Wall/Wall/Mixed
OTHER,Other,其它
Room Type,房间类型,
ATTIC,Attic,阁楼
MBDRM,Master Bedroom,主卧
BDRM,Bedroom,卧室
BUTLP,Butlers Pantry,食品储藏间
CLDRM,Cold Room,冷藏室
CONSE,Conservatory,玻璃房
DEN,Den,书房
DINRM,Dining,餐厅
DRESS,Dressing Room,化妆间
EATAR,Eating Area,餐室
FOYER,Entrance Hall,门厅
FAMRM,Family Room,家庭室
GAMES,Games Room,游戏房
GREAT,Great Room,Great Room
GYM,Gym,健身房
HOBBY,Hobby Room,兴趣房
KITCH,Kitchen,厨房
LAUND,Laundry,洗衣房
LIBRY,Library,图书馆
LVGRM,Living Room,客厅
LOFT,Loft,Loft
MEDIA,Media Room,影音室
MUDRM,Mud Room,玄关
NOOK,Nook,过道
OFFIC,Office,办公室
PANTR,Pantry,储藏间
PATIO,Patio,阳台
PLYRM,Playroom,游戏室
PORCH,Porch (enclosed),阳光房
RECRM,Recreation Room,娱乐室
SAUNA,Sauna,桑拿房
SOLAR,Solarium,阳光房
STMRM,Steam Room,汗蒸室
STORE,Storage,储藏室
STUDY,Study,书房
UTIL,Utility,工具房
WICLO,Walk-In Closet,衣橱
WINE,Wine Room,酒窖
WOKKT,Wok Kitchen,中厨
WKSHP,Workshop,工作间
OTHER,Other,其它
Maint Fee Includes,管理费包含服务,
CBSAT,Cable/Satellite,卫星电视
CRTKR,Caretaker,保洁员
ELEC,Electricity,电费
